Status,Project,Title,Name,URL,Error
Success,ODP,Vicmap Lite,vicmap-lite,https://ckan-datavic-ckan-odp-develop.au.amazee.io/dataset/vicmap-lite,
Success,DD,Vicmap Reference Tables,vicmap-reference-tables,https://ckan-datavic-ckan-develop.au.amazee.io/dataset/vicmap-reference-tables,
Success,ODP,Vicmap Reference Tables,vicmap-reference-tables,https://ckan-datavic-ckan-odp-develop.au.amazee.io/dataset/vicmap-reference-tables,
Success,DD,Vicmap Admin,vicmap-admin,https://ckan-datavic-ckan-develop.au.amazee.io/dataset/vicmap-admin,
Success,ODP,Vicmap Admin,vicmap-admin,https://ckan-datavic-ckan-odp-develop.au.amazee.io/dataset/vicmap-admin,
Failed,DD,Fire Management Zones,fire-management-zones,https://ckan-datavic-ckan-develop.au.amazee.io/dataset/fire-management-zones,['https://ckan-datavic-ckan-develop.au.amazee.io/api/action/dataset_purge', 500, u'Internal Server Error\n']
Success,ODP,Fire Management Zones,fire-management-zones,https://ckan-datavic-ckan-odp-develop.au.amazee.io/dataset/fire-management-zones,
Success,DD,Geological Basin Extents,geological-basin-extents,https://ckan-datavic-ckan-develop.au.amazee.io/dataset/geological-basin-extents,
Success,ODP,Geological Basin Extents,geological-basin-extents,https://ckan-datavic-ckan-odp-develop.au.amazee.io/dataset/geological-basin-extents,
Success,DD,Current Prospecting Licences,current-prospecting-licences,https://ckan-datavic-ckan-develop.au.amazee.io/dataset/current-prospecting-licences,
Success,ODP,Current Prospecting Licences,current-prospecting-licences,https://ckan-datavic-ckan-odp-develop.au.amazee.io/dataset/current-prospecting-licences,
Success,DD,Current Retention Licences,current-retention-licences,https://ckan-datavic-ckan-develop.au.amazee.io/dataset/current-retention-licences,
Success,ODP,Current Retention Licences,current-retention-licences,https://ckan-datavic-ckan-odp-develop.au.amazee.io/dataset/current-retention-licences,
Success,DD,Geothermal Tenements,geothermal-tenements,https://ckan-datavic-ckan-develop.au.amazee.io/dataset/geothermal-tenements,
Success,ODP,Geothermal Tenements,geothermal-tenements,https://ckan-datavic-ckan-odp-develop.au.amazee.io/dataset/geothermal-tenements,
Success,DD,Fire Installations,fire-installations,https://ckan-datavic-ckan-develop.au.amazee.io/dataset/fire-installations,
Success,ODP,Fire Installations,fire-installations,https://ckan-datavic-ckan-odp-develop.au.amazee.io/dataset/fire-installations,
Success,DD,Victoria Flood Database,victoria-flood-database,https://ckan-datavic-ckan-develop.au.amazee.io/dataset/victoria-flood-database,
Success,ODP,Victoria Flood Database,victoria-flood-database,https://ckan-datavic-ckan-odp-develop.au.amazee.io/dataset/victoria-flood-database,
Failed,DD,Forest Management Areas,forest-management-areas,https://ckan-datavic-ckan-develop.au.amazee.io/dataset/forest-management-areas,['https://ckan-datavic-ckan-develop.au.amazee.io/api/action/dataset_purge', 500, u'Internal Server Error\n']
Success,ODP,Forest Management Areas,forest-management-areas,https://ckan-datavic-ckan-odp-develop.au.amazee.io/dataset/forest-management-areas,
Success,DD,Dams of Victoria,dams-of-victoria,https://ckan-datavic-ckan-develop.au.amazee.io/dataset/dams-of-victoria,
Success,ODP,Dams of Victoria,dams-of-victoria,https://ckan-datavic-ckan-odp-develop.au.amazee.io/dataset/dams-of-victoria,
Success,DD,Watertable Salinity,watertable-salinity,https://ckan-datavic-ckan-develop.au.amazee.io/dataset/watertable-salinity,
Success,ODP,Watertable Salinity,watertable-salinity,https://ckan-datavic-ckan-odp-develop.au.amazee.io/dataset/watertable-salinity,
Success,DD,Forest Management Boundaries,forest-management-boundaries,https://ckan-datavic-ckan-develop.au.amazee.io/dataset/forest-management-boundaries,
Success,ODP,Forest Management Boundaries,forest-management-boundaries,https://ckan-datavic-ckan-odp-develop.au.amazee.io/dataset/forest-management-boundaries,
Success,DD,Centroid - Vicmap Property,centroid-vicmap-property,https://ckan-datavic-ckan-develop.au.amazee.io/dataset/centroid-vicmap-property,
Success,ODP,Centroid - Vicmap Property,centroid-vicmap-property,https://ckan-datavic-ckan-odp-develop.au.amazee.io/dataset/centroid-vicmap-property,
Success,DD,Victorian Coal Fields,victorian-coal-fields,https://ckan-datavic-ckan-develop.au.amazee.io/dataset/victorian-coal-fields,
Success,ODP,Victorian Coal Fields,victorian-coal-fields,https://ckan-datavic-ckan-odp-develop.au.amazee.io/dataset/victorian-coal-fields,
Success,DD,Victorian Railway Corridors,victorian-railway-corridors,https://ckan-datavic-ckan-develop.au.amazee.io/dataset/victorian-railway-corridors,
Success,ODP,Victorian Railway Corridors,victorian-railway-corridors,https://ckan-datavic-ckan-odp-develop.au.amazee.io/dataset/victorian-railway-corridors,
Failed,DD,Other Coastal Plans,other-coastal-plans,https://ckan-datavic-ckan-develop.au.amazee.io/dataset/other-coastal-plans,['https://ckan-datavic-ckan-develop.au.amazee.io/api/action/dataset_purge', 500, u'Internal Server Error\n']
Success,ODP,Other Coastal Plans,other-coastal-plans,https://ckan-datavic-ckan-odp-develop.au.amazee.io/dataset/other-coastal-plans,
Success,DD,Vicmap Planning History,vicmap-planning-history,https://ckan-datavic-ckan-develop.au.amazee.io/dataset/vicmap-planning-history,
Success,ODP,Vicmap Planning History,vicmap-planning-history,https://ckan-datavic-ckan-odp-develop.au.amazee.io/dataset/vicmap-planning-history,
Success,DD,Easement - Vicmap Property,easement-vicmap-property,https://ckan-datavic-ckan-develop.au.amazee.io/dataset/easement-vicmap-property,
Success,ODP,Easement - Vicmap Property,easement-vicmap-property,https://ckan-datavic-ckan-odp-develop.au.amazee.io/dataset/easement-vicmap-property,
Success,DD,landcare boundaries,landcare-boundaries,https://ckan-datavic-ckan-develop.au.amazee.io/dataset/landcare-boundaries,
Success,ODP,landcare boundaries,landcare-boundaries,https://ckan-datavic-ckan-odp-develop.au.amazee.io/dataset/landcare-boundaries,
Success,DD,Wetland Centroids,wetland-centroids,https://ckan-datavic-ckan-develop.au.amazee.io/dataset/wetland-centroids,
Success,ODP,Wetland Centroids,wetland-centroids,https://ckan-datavic-ckan-odp-develop.au.amazee.io/dataset/wetland-centroids,
Success,DD,Coastal Protection Structures,coastal-protection-structures,https://ckan-datavic-ckan-develop.au.amazee.io/dataset/coastal-protection-structures,
Success,ODP,Coastal Protection Structures,coastal-protection-structures,https://ckan-datavic-ckan-odp-develop.au.amazee.io/dataset/coastal-protection-structures,
Success,DD,Marine Assets,marine-assets,https://ckan-datavic-ckan-develop.au.amazee.io/dataset/marine-assets,
Success,ODP,Marine Assets,marine-assets,https://ckan-datavic-ckan-odp-develop.au.amazee.io/dataset/marine-assets,
Success,DD,Melbourne Water Corporations,melbourne-water-corporations,https://ckan-datavic-ckan-develop.au.amazee.io/dataset/melbourne-water-corporations,
Success,ODP,Melbourne Water Corporations,melbourne-water-corporations,https://ckan-datavic-ckan-odp-develop.au.amazee.io/dataset/melbourne-water-corporations,
Failed,DD,Victorian Primary Production Landscapes (PPL),victorian-primary-production-landscapes-ppl,https://ckan-datavic-ckan-develop.au.amazee.io/dataset/victorian-primary-production-landscapes-ppl,['https://ckan-datavic-ckan-develop.au.amazee.io/api/action/dataset_purge', 500, u'Internal Server Error\n']
Success,ODP,Victorian Primary Production Landscapes (PPL),victorian-primary-production-landscapes-ppl,https://ckan-datavic-ckan-odp-develop.au.amazee.io/dataset/victorian-primary-production-landscapes-ppl,
Success,DD,Vicmap Address2 - a variant that splits the ADDRESS product into 2 files vertically.,vicmap-address2-a-variant-that-splits-the-address-product-into-2-files-vertically,https://ckan-datavic-ckan-develop.au.amazee.io/dataset/vicmap-address2-a-variant-that-splits-the-address-product-into-2-files-vertically,
Success,ODP,Vicmap Address2 - a variant that splits the ADDRESS product into 2 files vertically.,vicmap-address2-a-variant-that-splits-the-address-product-into-2-files-vertically,https://ckan-datavic-ckan-odp-develop.au.amazee.io/dataset/vicmap-address2-a-variant-that-splits-the-address-product-into-2-files-vertically,
Success,DD,Melbourne Industrial and Commercial Land Use Plan - Industrial Aug2020,melbourne-industrial-and-commercial-land-use-plan-industrial-aug2020,https://ckan-datavic-ckan-develop.au.amazee.io/dataset/melbourne-industrial-and-commercial-land-use-plan-industrial-aug2020,
Success,ODP,Melbourne Industrial and Commercial Land Use Plan - Industrial Aug2020,melbourne-industrial-and-commercial-land-use-plan-industrial-aug2020,https://ckan-datavic-ckan-odp-develop.au.amazee.io/dataset/melbourne-industrial-and-commercial-land-use-plan-industrial-aug2020,
Success,DD,Melbourne Industrial and Commercial Land Use Plan Commercial - Future,melbourne-industrial-and-commercial-land-use-plan-commercial-future,https://ckan-datavic-ckan-develop.au.amazee.io/dataset/melbourne-industrial-and-commercial-land-use-plan-commercial-future,
Success,ODP,Melbourne Industrial and Commercial Land Use Plan Commercial - Future,melbourne-industrial-and-commercial-land-use-plan-commercial-future,https://ckan-datavic-ckan-odp-develop.au.amazee.io/dataset/melbourne-industrial-and-commercial-land-use-plan-commercial-future,
Success,DD,Rainforest Mapping for state-wide Victoria,rainforest-mapping-for-state-wide-victoria,https://ckan-datavic-ckan-develop.au.amazee.io/dataset/rainforest-mapping-for-state-wide-victoria,
Success,ODP,Rainforest Mapping for state-wide Victoria,rainforest-mapping-for-state-wide-victoria,https://ckan-datavic-ckan-odp-develop.au.amazee.io/dataset/rainforest-mapping-for-state-wide-victoria,
